Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
339,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,185,239,77.4,4158
340,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,111,256,43.4,4114
341,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,247,326,75.8,4075
342,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,207,247,83.8,4034
343,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,13.7,246,378,65.1,4027
344,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,12.3,279,381,73.2,3992
345,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,26.1,303,468,64.7,3951
346,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,10.6,230,309,74.4,3881
347,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6,105,182,57.7,3880
348,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,247,325,76,3762
349,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,284,367,77.4,3736
350,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,228,316,72.2,3725
351,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,3.8,187,201,93,3684
352,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,7.9,239,293,81.6,3677
353,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,193,237,81.4,3607
354,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,174,221,78.7,3565
355,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,4.6,176,228,77.2,3563
356,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,9.7,175,260,67.3,3468
357,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,194,212,91.5,3423
358,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,6.1,156,208,75,3417
