Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
477,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,19,100,279
478,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,21,23,91.3,279
479,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,15,100,253
480,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,11,13,84.6,235
481,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,12,14,85.7,235
482,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,12,15,80,204
483,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,17,23,73.9,195
484,Richairo Živković\Richairo-Zivkovic,nl NED,FWDF,Sheffield Utd,22,1996,0.8,14,16,87.5,195
485,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,11,20,55,183
486,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,10,13,76.9,172
487,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,14,21,66.7,155
488,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,15,18,83.3,152
489,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,12,16,75,138
490,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,11,14,78.6,137
491,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,9,14,64.3,136
492,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1,9,19,47.4,136
493,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,100,135
494,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,7,10,70,129
495,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,7,10,70,128
496,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,7,7,100,121
497,João Pedro\Joao-Pedro,br BRA,FW,Watford,17,2001,0.2,8,11,72.7,113
498,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,5,100,92
499,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,6,7,85.7,91
500,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,6,6,100,87
501,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,4,5,80,81
502,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,6,10,60,81
503,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,8,11,72.7,80
504,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,8,12,66.7,77
505,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,5,9,55.6,65
506,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,4,10,40,64
507,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,4,6,66.7,53
508,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,3,100,44
509,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,3,5,60,40
510,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,2,2,100,40
511,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,3,3,100,34
512,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,4,6,66.7,34
513,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,2,2,100,28
514,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,1,2,50,26
515,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,2,2,100,13
516,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0,0,0,,0
517,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0,0,1,0,0
518,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0,0,0,,0
